#1|lemma	count
ϭⲱϣⲧ	197
ⲓⲁⲕⲱⲃ	196
ⲓⲏⲥⲟⲩⲥ	196
ⲥⲏϥⲉ	195
ⲥⲱⲟⲩϩ	194
ⲧⲁⲡⲣⲟ	194
ⲛⲧⲉ_ⲁⲛⲟⲕ	194
ϫⲡⲟ	194
ⲁⲗⲗⲟⲫⲩⲗⲟⲥ	193
ϫⲱⲱⲣⲉ	192
ⲟⲩⲏⲏⲃ	191
ⲁⲡⲉ	191
ⲥⲁ	189
ⲛⲁⲛⲟⲩ	188
ⲉϩⲉ	188
ⲙⲉⲣⲉ	188
ⲱⲡ	187
ⲟⲣⲅⲏ	187
ϫⲉⲕⲁⲁⲥ	185
ⲥⲱⲧⲡ	183
ϣⲟⲣⲡ	182
ⲛⲟⲩϩⲙ	181
ϫⲱⲕ	181
ⲥⲟⲡ	181
ϩⲱⲡ	180
ⲙⲏⲏϣⲉ	178
ⲑⲁⲗⲁⲥⲥⲁ	177
ⲧⲃⲃⲟ	177
ⲛⲛⲁϩⲣⲛ	176
ⲥⲛⲟϥ	176
ϣⲟϫⲛⲉ	176
ϭⲓⲛⲉ	175
ⲫⲁⲣⲁⲱ	174
ⲇⲓⲁⲑⲏⲕⲏ	173
ⲟⲉⲓⲕ	173
ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	172
ⲉⲥⲏⲧ	169
ⲡⲛⲉⲩⲙⲁ	168
ⲉⲣϣⲁⲛ	166
ⲙⲟⲩⲟⲩⲧ	166
ⲥⲱ	166
ϭⲱ	164
ϣⲧⲟⲣⲧⲣ	164
ⲉⲣϣⲁⲛ_ⲛⲧⲟⲕ	162
ⲧⲁⲙⲟ	162
ⲱⲛⲉ	161
ϫⲁⲉⲓⲉ	161
ⲱⲃϣ	160
ⲉⲥⲟⲟⲩ	159
ⲕⲟⲩⲓ	159
ⲥⲟⲫⲓⲁ	157
ⲉⲩⲫⲣⲁⲛⲉ	157
ⲟⲩⲉ	156
ϣⲱⲡ	153
ⲟⲩⲉⲣⲏⲧⲉ	153
ⲉϩⲟⲩⲉ	152
ⲑⲩⲥⲓⲁ	151
ⲛⲟⲙⲟⲥ	151
ϥⲱⲧⲉ	151
